2025-09-07 02:35:01 | INFO | [Karto JSON Consumer] Processed JSON message: {'message': 'I love Python!', 'author': 'Eve'}
2025-09-07 02:35:01 | INFO | [Karto JSON Consumer] Message received from author: Eve
2025-09-07 02:35:01 | INFO | [Karto JSON Consumer] Updated author counts: {'Alice': 20, 'Charlie': 9, 'Diana': 21, 'Eve': 9, 'Bob': 14}
2025-09-07 02:35:01 | INFO | [Karto Producer] Sent message: {'message': 'I love Python!', 'author': 'Eve'}
2025-09-07 02:35:02 | INFO | [Karto Producer] Sent message: {'message': 'JSON makes life easier.', 'author': 'Charlie'}
2025-09-07 02:35:02 | INFO | [Karto JSON Consumer] Processed JSON message: {'message': 'JSON makes life easier.', 'author': 'Charlie'}
2025-09-07 02:35:02 | INFO | [Karto JSON Consumer] Message received from author: Charlie
2025-09-07 02:35:02 | INFO | [Karto JSON Consumer] Updated author counts: {'Alice': 20, 'Charlie': 10, 'Diana': 21, 'Eve': 9, 'Bob': 14}
2025-09-07 02:35:03 | INFO | [Karto Producer] Sent message: {'message': 'I love Python!', 'author': 'Charlie'}
2025-09-07 02:35:03 | INFO | [Karto JSON Consumer] Processed JSON message: {'message': 'I love Python!', 'author': 'Charlie'}
2025-09-07 02:35:03 | INFO | [Karto JSON Consumer] Message received from author: Charlie
2025-09-07 02:35:03 | INFO | [Karto JSON Consumer] Updated author counts: {'Alice': 20, 'Charlie': 11, 'Diana': 21, 'Eve': 9, 'Bob': 14}
2025-09-07 02:35:04 | INFO | [Karto Producer] Sent message: {'message': 'I love Python!', 'author': 'Charlie'}
2025-09-07 02:35:04 | INFO | [Karto JSON Consumer] Processed JSON message: {'message': 'I love Python!', 'author': 'Charlie'}
2025-09-07 02:35:04 | INFO | [Karto JSON Consumer] Message received from author: Charlie
2025-09-07 02:35:04 | INFO | [Karto JSON Consumer] Updated author counts: {'Alice': 20, 'Charlie': 12, 'Diana': 21, 'Eve': 9, 'Bob': 14}
2025-09-07 02:35:05 | INFO | [Karto Producer] Sent message: {'message': 'I love Python!', 'author': 'Diana'}
2025-09-07 02:35:05 | INFO | [Karto JSON Consumer] Processed JSON message: {'message': 'I love Python!', 'author': 'Diana'}
2025-09-07 02:35:05 | INFO | [Karto JSON Consumer] Message received from author: Diana
2025-09-07 02:35:05 | INFO | [Karto JSON Consumer] Updated author counts: {'Alice': 20, 'Charlie': 12, 'Diana': 22, 'Eve': 9, 'Bob': 14}
2025-09-07 02:35:06 | INFO | [Karto Producer] Sent message: {'message': 'Streaming data is fun.', 'author': 'Diana'}
2025-09-07 02:35:06 | INFO | [Karto JSON Consumer] Processed JSON message: {'message': 'Streaming data is fun.', 'author': 'Diana'}
2025-09-07 02:35:06 | INFO | [Karto JSON Consumer] Message received from author: Diana
2025-09-07 02:35:06 | INFO | [Karto JSON Consumer] Updated author counts: {'Alice': 20, 'Charlie': 12, 'Diana': 23, 'Eve': 9, 'Bob': 14}
2025-09-07 02:35:07 | INFO | [Karto Producer] Sent message: {'message': 'Data engineering is my passion.', 'author': 'Eve'}
2025-09-07 02:35:07 | INFO | [Karto JSON Consumer] Processed JSON message: {'message': 'Data engineering is my passion.', 'author': 'Eve'}
2025-09-07 02:35:07 | INFO | [Karto JSON Consumer] Message received from author: Eve
2025-09-07 02:35:07 | INFO | [Karto JSON Consumer] Updated author counts: {'Alice': 20, 'Charlie': 12, 'Diana': 23, 'Eve': 10, 'Bob': 14}
2025-09-07 02:35:08 | INFO | [Karto Producer] Sent message: {'message': 'Buzz messages for everyone.', 'author': 'Eve'}
2025-09-07 02:35:08 | INFO | [Karto JSON Consumer] Processed JSON message: {'message': 'Buzz messages for everyone.', 'author': 'Eve'}
2025-09-07 02:35:08 | INFO | [Karto JSON Consumer] Message received from author: Eve
2025-09-07 02:35:08 | INFO | [Karto JSON Consumer] Updated author counts: {'Alice': 20, 'Charlie': 12, 'Diana': 23, 'Eve': 11, 'Bob': 14}
2025-09-07 02:35:09 | INFO | [Karto Producer] Sent message: {'message': 'JSON makes life easier.', 'author': 'Eve'}
2025-09-07 02:35:09 | INFO | [Karto JSON Consumer] Processed JSON message: {'message': 'JSON makes life easier.', 'author': 'Eve'}
2025-09-07 02:35:09 | INFO | [Karto JSON Consumer] Message received from author: Eve
2025-09-07 02:35:09 | INFO | [Karto JSON Consumer] Updated author counts: {'Alice': 20, 'Charlie': 12, 'Diana': 23, 'Eve': 12, 'Bob': 14}
2025-09-07 02:35:10 | INFO | [Karto Producer] Sent message: {'message': 'Have a great day!', 'author': 'Alice'}
2025-09-07 02:35:10 | INFO | [Karto JSON Consumer] Processed JSON message: {'message': 'Have a great day!', 'author': 'Alice'}
2025-09-07 02:35:10 | INFO | [Karto JSON Consumer] Message received from author: Alice
2025-09-07 02:35:10 | INFO | [Karto JSON Consumer] Updated author counts: {'Alice': 21, 'Charlie': 12, 'Diana': 23, 'Eve': 12, 'Bob': 14}
2025-09-07 02:35:11 | INFO | [Karto Producer] Sent message: {'message': 'I love Python!', 'author': 'Bob'}
2025-09-07 02:35:11 | INFO | [Karto JSON Consumer] Processed JSON message: {'message': 'I love Python!', 'author': 'Bob'}
2025-09-07 02:35:11 | INFO | [Karto JSON Consumer] Message received from author: Bob
2025-09-07 02:35:11 | INFO | [Karto JSON Consumer] Updated author counts: {'Alice': 21, 'Charlie': 12, 'Diana': 23, 'Eve': 12, 'Bob': 15}
